# wavenumber, intensity
2.009300000000000068e+02,8.765084225147030603e-03
2.019000000000000057e+02,7.851251657138501663e-03
2.028600000000000136e+02,6.236836039461234570e-03
2.038199999999999932e+02,5.261588415846665465e-03
2.047899999999999920e+02,5.988729167287780777e-03
2.057500000000000000e+02,8.507226298519510871e-03
2.067199999999999989e+02,1.163444159398792886e-02
2.076800000000000068e+02,1.357080788321382743e-02
2.086500000000000057e+02,1.323959785679852501e-02
2.096100000000000136e+02,1.073774149832604392e-02
2.105699999999999932e+02,7.505308415396306360e-03
2.115399999999999920e+02,5.490335357304750724e-03
2.125000000000000000e+02,5.463090460928425943e-03
2.134699999999999989e+02,6.984154246230615988e-03
2.144300000000000068e+02,8.855503632275970108e-03
2.154000000000000057e+02,9.861734253943812631e-03
2.163600000000000136e+02,9.643093812424292921e-03
2.173199999999999932e+02,8.610951214947048377e-03
2.182899999999999920e+02,7.433413642093282016e-03
2.192500000000000000e+02,6.694010021441381027e-03
2.202199999999999989e+02,6.618608186026352092e-03
2.211800000000000068e+02,6.941850309501057005e-03
2.221399999999999864e+02,7.551996179766255757e-03
2.231100000000000136e+02,8.408015539744302658e-03
2.240699999999999932e+02,9.327701110062180598e-03
2.250399999999999920e+02,9.821965828335534054e-03
2.260000000000000000e+02,9.554214669060588291e-03
2.269699999999999989e+02,8.698402652281771175e-03
2.279300000000000068e+02,7.779629392040327864e-03
2.288899999999999864e+02,7.219897539639682192e-03
2.298600000000000136e+02,7.248268013382675595e-03
2.308199999999999932e+02,7.611462209299126036e-03
2.317899999999999920e+02,7.790393466124811116e-03
2.327500000000000000e+02,7.418911466331543948e-03
2.337199999999999989e+02,6.627920857716681352e-03
2.346800000000000068e+02,5.937302129792858089e-03
2.356399999999999864e+02,5.850709685711863971e-03
2.366100000000000136e+02,6.287925403745682484e-03
2.375699999999999932e+02,6.956210307068983086e-03
2.385399999999999920e+02,7.398431882341021879e-03
2.395000000000000000e+02,7.327633065948517543e-03
2.404699999999999989e+02,6.836893182061817148e-03
2.414300000000000068e+02,6.346467275019567617e-03
2.423899999999999864e+02,6.165764714863564838e-03
2.433600000000000136e+02,6.514616685486136587e-03
2.443199999999999932e+02,7.263972779699955258e-03
2.452899999999999920e+02,8.096514965436263020e-03
2.462500000000000000e+02,8.784995096362496411e-03
2.472100000000000080e+02,9.232465416620129484e-03
2.481800000000000068e+02,9.432219854737576223e-03
2.491399999999999864e+02,9.270545476177552077e-03
2.501100000000000136e+02,8.556899804958890965e-03
2.510699999999999932e+02,7.270726243902893467e-03
2.520399999999999920e+02,5.666233479330525478e-03
2.530000000000000000e+02,4.203504222102649041e-03
2.539600000000000080e+02,3.451511907213059005e-03
2.549300000000000068e+02,3.799297541382486241e-03
2.558899999999999864e+02,5.009370224237578995e-03
2.568600000000000136e+02,6.417627460987724089e-03
2.578199999999999932e+02,7.320050228948842344e-03
2.587900000000000205e+02,7.521054650353136903e-03
2.597500000000000000e+02,7.457163324539930679e-03
2.607099999999999795e+02,7.712462043679604862e-03
2.616800000000000068e+02,8.838460021301286496e-03
2.626399999999999864e+02,1.100052826900242524e-02
2.636100000000000136e+02,1.403223536282403004e-02
2.645699999999999932e+02,1.755084352930129724e-02
2.655400000000000205e+02,2.120969271163178002e-02
2.665000000000000000e+02,2.470714594769835709e-02
2.674599999999999795e+02,2.776541074329291411e-02
2.684300000000000068e+02,3.040515625333075483e-02
2.693899999999999864e+02,3.264154222771969982e-02
2.703600000000000136e+02,3.469939385940724874e-02
2.713199999999999932e+02,3.691826229550872890e-02
2.722799999999999727e+02,3.944366099322874075e-02
2.732500000000000000e+02,4.238322476932213090e-02
2.742099999999999795e+02,4.609118466940795994e-02
2.751800000000000068e+02,5.079494286619531951e-02
2.761399999999999864e+02,5.618480563325511934e-02
2.771100000000000136e+02,6.142458154454508851e-02
2.780699999999999932e+02,6.524662167283561132e-02
2.790299999999999727e+02,6.672894190034313333e-02
2.800000000000000000e+02,6.560580525887048375e-02
2.809599999999999795e+02,6.201415304535772000e-02
2.819300000000000068e+02,5.654797020871473595e-02
2.828899999999999864e+02,4.979715407478125383e-02
2.838600000000000136e+02,4.214391517288686162e-02
2.848199999999999932e+02,3.410324661713419470e-02
2.857799999999999727e+02,2.643821284925047116e-02
2.867500000000000000e+02,1.971887733704820803e-02
2.877099999999999795e+02,1.432793046126093310e-02
2.886800000000000068e+02,1.052602631965938139e-02
2.896399999999999864e+02,8.279735264439641931e-03
2.906100000000000136e+02,7.437643443356878846e-03
2.915699999999999932e+02,7.496919901964849489e-03
2.925299999999999727e+02,7.739558837770120318e-03
2.935000000000000000e+02,7.308984026202506451e-03
2.944599999999999795e+02,6.064794500940670109e-03
2.954300000000000068e+02,4.657200762428104386e-03
2.963899999999999864e+02,4.095875329439194364e-03
2.973600000000000136e+02,5.033564213539580903e-03
2.983199999999999932e+02,7.495148598634399952e-03
2.992799999999999727e+02,1.056216327723543021e-02
3.002500000000000000e+02,1.276804018088382314e-02
3.012099999999999795e+02,1.288536681117909491e-02
3.021800000000000068e+02,1.068360122696685420e-02
3.031399999999999864e+02,7.211443861203842287e-03
3.041000000000000227e+02,4.147029858729858916e-03
3.050699999999999932e+02,2.871235305816646939e-03
3.060299999999999727e+02,4.005361136847121126e-03
3.070000000000000000e+02,6.940991316246820052e-03
3.079599999999999795e+02,1.021183620785287051e-02
3.089300000000000068e+02,1.247832249067566505e-02
3.098899999999999864e+02,1.328826426769833674e-02
3.108500000000000227e+02,1.279424243717270510e-02
3.118199999999999932e+02,1.152665275085701553e-02
3.127799999999999727e+02,9.824021488053483533e-03
3.137500000000000000e+02,7.831998360069007334e-03
3.147099999999999795e+02,6.090214777163551439e-03
3.156800000000000068e+02,5.302073656514800018e-03
3.166399999999999864e+02,5.877397717495557242e-03
3.176000000000000227e+02,7.378603948404969214e-03
3.185699999999999932e+02,8.797423840132011230e-03
3.195299999999999727e+02,9.303850718062034106e-03
3.205000000000000000e+02,8.784527093141749829e-03
3.214599999999999795e+02,7.863425664977713794e-03
3.224300000000000068e+02,7.493661651691765208e-03
3.233899999999999864e+02,8.224042881132095223e-03
3.243500000000000227e+02,9.403517631875498231e-03
3.253199999999999932e+02,9.968628559272810566e-03
3.262799999999999727e+02,9.310343522242985406e-03
3.272500000000000000e+02,7.641876494577709220e-03
3.282099999999999795e+02,5.888262501134436909e-03
