# wavenumber, intensity
2.009300000000000068e+02,2.592834515518655653e-02
2.019000000000000057e+02,2.359366501431219357e-02
2.028600000000000136e+02,1.976543218136936342e-02
2.038199999999999932e+02,1.822664671685400584e-02
2.047899999999999920e+02,2.151926497929559923e-02
2.057500000000000000e+02,2.963569009319907271e-02
2.067199999999999989e+02,3.876138451034587262e-02
2.076800000000000068e+02,4.400009227764310055e-02
2.086500000000000057e+02,4.246165529365669711e-02
2.096100000000000136e+02,3.484230280393124657e-02
2.105699999999999932e+02,2.560370069593055631e-02
2.115399999999999920e+02,1.955881807671678088e-02
2.125000000000000000e+02,1.920169523231188627e-02
2.134699999999999989e+02,2.400539475734624409e-02
2.144300000000000068e+02,3.072667808009973273e-02
2.154000000000000057e+02,3.410115441841232026e-02
2.163600000000000136e+02,3.244015683296532643e-02
2.173199999999999932e+02,2.839196309117423406e-02
2.182899999999999920e+02,2.609112040950174044e-02
2.192500000000000000e+02,2.944273642521976972e-02
2.202199999999999989e+02,3.972901039057334660e-02
2.211800000000000068e+02,5.500559520334571267e-02
2.221399999999999864e+02,7.168732319840363798e-02
2.231100000000000136e+02,8.612222299352496890e-02
2.240699999999999932e+02,9.665466360338222096e-02
2.250399999999999920e+02,1.011976996939771278e-01
2.260000000000000000e+02,9.836263636391465170e-02
2.269699999999999989e+02,8.793540202525744476e-02
2.279300000000000068e+02,7.318833337375740822e-02
2.288899999999999864e+02,5.764578822252917900e-02
2.298600000000000136e+02,4.479400061499796970e-02
2.308199999999999932e+02,3.605867408456175233e-02
2.317899999999999920e+02,3.064398365096583643e-02
2.327500000000000000e+02,2.692360554123063646e-02
2.337199999999999989e+02,2.421026645936265320e-02
2.346800000000000068e+02,2.314252212363454228e-02
2.356399999999999864e+02,2.377020524945453600e-02
2.366100000000000136e+02,2.456878322587555813e-02
2.375699999999999932e+02,2.479480769589972877e-02
2.385399999999999920e+02,2.417461690141738465e-02
2.395000000000000000e+02,2.330414739220890499e-02
2.404699999999999989e+02,2.250832241195350678e-02
2.414300000000000068e+02,2.256268537421635481e-02
2.423899999999999864e+02,2.317935651537315206e-02
2.433600000000000136e+02,2.394740759760044524e-02
2.443199999999999932e+02,2.490482299837662103e-02
2.452899999999999920e+02,2.605888596072292174e-02
2.462500000000000000e+02,2.711216835456672566e-02
2.472100000000000080e+02,2.737872110991887084e-02
2.481800000000000068e+02,2.693949625327690320e-02
2.491399999999999864e+02,2.592238613816948492e-02
2.501100000000000136e+02,2.475699755868470547e-02
2.510699999999999932e+02,2.373772686430807369e-02
2.520399999999999920e+02,2.282665937366630537e-02
2.530000000000000000e+02,2.224863472299025771e-02
2.539600000000000080e+02,2.241492963063025992e-02
2.549300000000000068e+02,2.395841958226359661e-02
2.558899999999999864e+02,2.656334637208028482e-02
2.568600000000000136e+02,2.891844747185705680e-02
2.578199999999999932e+02,2.965098838834992132e-02
2.587900000000000205e+02,2.789590106052403790e-02
2.597500000000000000e+02,2.467510463476356095e-02
2.607099999999999795e+02,2.130899182910771933e-02
2.616800000000000068e+02,1.933704506912604579e-02
2.626399999999999864e+02,1.952947601631535232e-02
2.636100000000000136e+02,2.160405029159423798e-02
2.645699999999999932e+02,2.400797351324945178e-02
2.655400000000000205e+02,2.583484782970510776e-02
2.665000000000000000e+02,2.680738728536751631e-02
2.674599999999999795e+02,2.724765758359142670e-02
2.684300000000000068e+02,2.770482918739054085e-02
2.693899999999999864e+02,2.775023620010114503e-02
2.703600000000000136e+02,2.644528116942255688e-02
2.713199999999999932e+02,2.413063865886879919e-02
2.722799999999999727e+02,2.133941417914331576e-02
2.732500000000000000e+02,1.901295817871271818e-02
2.742099999999999795e+02,1.837583123060177251e-02
2.751800000000000068e+02,1.984101760774507547e-02
2.761399999999999864e+02,2.255264913502923532e-02
2.771100000000000136e+02,2.523762190197308478e-02
2.780699999999999932e+02,2.671326269493650221e-02
2.790299999999999727e+02,2.713081206277901530e-02
2.800000000000000000e+02,2.687645612588357089e-02
2.809599999999999795e+02,2.625410475213137487e-02
2.819300000000000068e+02,2.569113446023552072e-02
