# wavenumber, intensity
2.009300000000000068e+02,4.411279928077068910e-03
2.019000000000000057e+02,3.813215800390068466e-03
2.028600000000000136e+02,3.104015483666735901e-03
2.038199999999999932e+02,2.987292024985866573e-03
2.047899999999999920e+02,3.662916506368282810e-03
2.057500000000000000e+02,5.005514774387697166e-03
2.067199999999999989e+02,6.365118532883098229e-03
2.076800000000000068e+02,6.966994536122355502e-03
2.086500000000000057e+02,6.438675546958114691e-03
2.096100000000000136e+02,5.158894899335141754e-03
2.105699999999999932e+02,3.950478131907552044e-03
2.115399999999999920e+02,3.544052131281836757e-03
2.125000000000000000e+02,4.242373807731314797e-03
2.134699999999999989e+02,5.916518219644300962e-03
2.144300000000000068e+02,7.323187327420007005e-03
2.154000000000000057e+02,8.547251931017268989e-03
2.163600000000000136e+02,8.658388120053553405e-03
2.173199999999999932e+02,7.624516960089817129e-03
2.182899999999999920e+02,7.001840996647365825e-03
2.192500000000000000e+02,7.161069478605494587e-03
2.202199999999999989e+02,9.228916233480001161e-03
2.211800000000000068e+02,1.377188862925206488e-02
2.221399999999999864e+02,2.028784603671206915e-02
2.231100000000000136e+02,2.784736964834805609e-02
2.240699999999999932e+02,3.494398535905750974e-02
2.250399999999999920e+02,3.930917466402108346e-02
2.260000000000000000e+02,4.026842705461975563e-02
2.269699999999999989e+02,3.837067001615277612e-02
2.279300000000000068e+02,3.318474387146787968e-02
2.288899999999999864e+02,2.615975312832046276e-02
2.298600000000000136e+02,1.917375143191413223e-02
2.308199999999999932e+02,1.268794091238026160e-02
2.317899999999999920e+02,7.940606731882147995e-03
2.327500000000000000e+02,5.004365989974821072e-03
2.337199999999999989e+02,3.637799901704237039e-03
2.346800000000000068e+02,3.561945318803854364e-03
2.356399999999999864e+02,3.932828625927317114e-03
2.366100000000000136e+02,4.076896634799984272e-03
2.375699999999999932e+02,4.366790640813713459e-03
2.385399999999999920e+02,4.445708648815334396e-03
2.395000000000000000e+02,4.346843566007930169e-03
2.404699999999999989e+02,4.103231647174652129e-03
2.414300000000000068e+02,3.995245912361731003e-03
2.423899999999999864e+02,3.961008655692347877e-03
2.433600000000000136e+02,3.986177477829597540e-03
2.443199999999999932e+02,4.129462224602593011e-03
2.452899999999999920e+02,4.300909595316156075e-03
2.462500000000000000e+02,4.437632346276081975e-03
2.472100000000000080e+02,4.516759224170924410e-03
2.481800000000000068e+02,4.569968829477650402e-03
2.491399999999999864e+02,4.439198870475510351e-03
2.501100000000000136e+02,4.132351591459321877e-03
2.510699999999999932e+02,3.814817136238245372e-03
2.520399999999999920e+02,3.640375963721335321e-03
2.530000000000000000e+02,3.705734834485727505e-03
2.539600000000000080e+02,4.074529442676473080e-03
2.549300000000000068e+02,4.787210924287363736e-03
2.558899999999999864e+02,5.645700997214815955e-03
2.568600000000000136e+02,6.315616368181774590e-03
2.578199999999999932e+02,6.606398071241782743e-03
2.587900000000000205e+02,6.396135712031661771e-03
2.597500000000000000e+02,5.756784968777808875e-03
2.607099999999999795e+02,4.843240273153217451e-03
2.616800000000000068e+02,4.093588820436077150e-03
2.626399999999999864e+02,3.798229385548809213e-03
2.636100000000000136e+02,3.968458348551686006e-03
2.645699999999999932e+02,4.358888396518835993e-03
2.655400000000000205e+02,4.644465758071982323e-03
2.665000000000000000e+02,4.697188000294516726e-03
2.674599999999999795e+02,4.498013151251325191e-03
2.684300000000000068e+02,4.267490412395393527e-03
