# wavenumber, intensity
2.009300000000000068e+02,1.004438926384072089e-02
2.019000000000000057e+02,9.680711189159443147e-03
2.028600000000000136e+02,9.622474122322480922e-03
2.038199999999999932e+02,1.081738996830872331e-02
2.047899999999999920e+02,1.397739762941294095e-02
2.057500000000000000e+02,1.867012780343337008e-02
2.067199999999999989e+02,2.346629080966973133e-02
2.076800000000000068e+02,2.614276713977391892e-02
2.086500000000000057e+02,2.542895388038751703e-02
2.096100000000000136e+02,2.152743999384371457e-02
2.105699999999999932e+02,1.625891260097278579e-02
2.115399999999999920e+02,1.200021489108052397e-02
2.125000000000000000e+02,9.760886153793653028e-03
2.134699999999999989e+02,9.542906343787240300e-03
2.144300000000000068e+02,9.994520805429145047e-03
2.154000000000000057e+02,9.812074581988414548e-03
2.163600000000000136e+02,8.846543084935581253e-03
2.173199999999999932e+02,7.279606955237513319e-03
2.182899999999999920e+02,5.393422933762323686e-03
2.192500000000000000e+02,4.324141811746023793e-03
2.202199999999999989e+02,6.152379159736594966e-03
2.211800000000000068e+02,1.219256088789590596e-02
2.221399999999999864e+02,2.239186180549853841e-02
2.231100000000000136e+02,3.521238511807838617e-02
2.240699999999999932e+02,4.754121968639761497e-02
2.250399999999999920e+02,5.679059114978653178e-02
2.260000000000000000e+02,6.182350393634697405e-02
2.269699999999999989e+02,6.307739603224865599e-02
2.279300000000000068e+02,6.089382281860650226e-02
2.288899999999999864e+02,5.454476816116630294e-02
2.298600000000000136e+02,4.445402155853832304e-02
2.308199999999999932e+02,3.319304254487009942e-02
2.317899999999999920e+02,2.379609845971359522e-02
2.327500000000000000e+02,1.794345803835747238e-02
2.337199999999999989e+02,1.509311528840369225e-02
2.346800000000000068e+02,1.363505026642879495e-02
2.356399999999999864e+02,1.178144309920458460e-02
2.366100000000000136e+02,9.656740537895561888e-03
2.375699999999999932e+02,8.277583309562481367e-03
2.385399999999999920e+02,8.277768105331947610e-03
2.395000000000000000e+02,8.988492635426208882e-03
2.404699999999999989e+02,9.288812160511868143e-03
2.414300000000000068e+02,9.040789838238900630e-03
2.423899999999999864e+02,8.761431433311393790e-03
2.433600000000000136e+02,8.793242705087645980e-03
2.443199999999999932e+02,9.100135679693718491e-03
2.452899999999999920e+02,9.222892869536215496e-03
2.462500000000000000e+02,9.319673054044264396e-03
2.472100000000000080e+02,9.529178658041875458e-03
2.481800000000000068e+02,9.923189638342405638e-03
2.491399999999999864e+02,1.024304471621990953e-02
2.501100000000000136e+02,1.014365099154113277e-02
2.510699999999999932e+02,8.989680608231343656e-03
2.520399999999999920e+02,7.023585616078078901e-03
2.530000000000000000e+02,4.848908998775255073e-03
2.539600000000000080e+02,3.523316144246757629e-03
2.549300000000000068e+02,3.734801702919129853e-03
2.558899999999999864e+02,5.273173686507511351e-03
2.568600000000000136e+02,7.331851359258220735e-03
2.578199999999999932e+02,8.978962453591225398e-03
2.587900000000000205e+02,9.651381460575529647e-03
2.597500000000000000e+02,9.473660728958622698e-03
2.607099999999999795e+02,9.450904449895309797e-03
2.616800000000000068e+02,1.045936136429951452e-02
2.626399999999999864e+02,1.292266257440812492e-02
2.636100000000000136e+02,1.723466066414778078e-02
2.645699999999999932e+02,2.318207491594059810e-02
2.655400000000000205e+02,3.061566954609213145e-02
2.665000000000000000e+02,3.899148500692442565e-02
2.674599999999999795e+02,4.761297324381557478e-02
2.684300000000000068e+02,5.591505519255548368e-02
2.693899999999999864e+02,6.327855942721639926e-02
2.703600000000000136e+02,6.914418835123893603e-02
2.713199999999999932e+02,7.305169490059894299e-02
2.722799999999999727e+02,7.497922037568574560e-02
2.732500000000000000e+02,7.457359366129259759e-02
2.742099999999999795e+02,7.220501348283006604e-02
2.751800000000000068e+02,6.862493863790332382e-02
2.761399999999999864e+02,6.408936406627634141e-02
2.771100000000000136e+02,5.853105050719048519e-02
2.780699999999999932e+02,5.172987979959066396e-02
2.790299999999999727e+02,4.430423138753434437e-02
2.800000000000000000e+02,3.723888192751419884e-02
2.809599999999999795e+02,3.121894853582926621e-02
2.819300000000000068e+02,2.650509884527629118e-02
2.828899999999999864e+02,2.258581816544979332e-02
2.838600000000000136e+02,1.896432266872505323e-02
2.848199999999999932e+02,1.521851241781346960e-02
2.857799999999999727e+02,1.190852978993574805e-02
2.867500000000000000e+02,9.602304984033928001e-03
2.877099999999999795e+02,8.223649344218941087e-03
2.886800000000000068e+02,7.750783369066987713e-03
2.896399999999999864e+02,8.360635808324875726e-03
2.906100000000000136e+02,1.024565825639073627e-02
2.915699999999999932e+02,1.280692762381215218e-02
