# wavenumber, intensity
2.009300000000000068e+02,7.120987981383787579e-02
2.019000000000000057e+02,6.213557763350874286e-02
2.028600000000000136e+02,4.785579614985416980e-02
2.038199999999999932e+02,3.952175256058580027e-02
2.047899999999999920e+02,4.395722395427876378e-02
2.057500000000000000e+02,5.973033437039358684e-02
2.067199999999999989e+02,7.728796960357679768e-02
2.076800000000000068e+02,8.596054740917555281e-02
2.086500000000000057e+02,8.304087979809593456e-02
2.096100000000000136e+02,7.023075808103933226e-02
2.105699999999999932e+02,5.334519686937334165e-02
2.115399999999999920e+02,4.045690176047593567e-02
2.125000000000000000e+02,3.645127544774531131e-02
2.134699999999999989e+02,4.293326109532603907e-02
2.144300000000000068e+02,5.544480388521415976e-02
2.154000000000000057e+02,6.538715643744100192e-02
2.163600000000000136e+02,6.697201338285058148e-02
2.173199999999999932e+02,6.047178727717345686e-02
2.182899999999999920e+02,5.096742286756405366e-02
2.192500000000000000e+02,4.583392822922599530e-02
2.202199999999999989e+02,5.228258161111981606e-02
2.211800000000000068e+02,7.037060159310681851e-02
2.221399999999999864e+02,9.496688216826736084e-02
2.231100000000000136e+02,1.200766099240016538e-01
2.240699999999999932e+02,1.400237451677703582e-01
2.250399999999999920e+02,1.520672247740163241e-01
2.260000000000000000e+02,1.561588418177705662e-01
2.269699999999999989e+02,1.540356742102175491e-01
2.279300000000000068e+02,1.484533340137300095e-01
2.288899999999999864e+02,1.400536030604869753e-01
2.298600000000000136e+02,1.277699574226442980e-01
2.308199999999999932e+02,1.116234604863358820e-01
2.317899999999999920e+02,9.419111982840894237e-02
2.327500000000000000e+02,7.789880780148633610e-02
2.337199999999999989e+02,6.409230106093127821e-02
2.346800000000000068e+02,5.417850351155889532e-02
2.356399999999999864e+02,4.879876268892493346e-02
2.366100000000000136e+02,4.778011996358278585e-02
2.375699999999999932e+02,4.983010859043966040e-02
2.385399999999999920e+02,5.288321383842602835e-02
2.395000000000000000e+02,5.468337333386074500e-02
2.404699999999999989e+02,5.306833277327134557e-02
2.414300000000000068e+02,4.872124074201748811e-02
2.423899999999999864e+02,4.469531106224045036e-02
2.433600000000000136e+02,4.421715048215009436e-02
2.443199999999999932e+02,4.963923522536334287e-02
2.452899999999999920e+02,5.822723376395459727e-02
2.462500000000000000e+02,6.716071526481867671e-02
2.472100000000000080e+02,7.300428487903930230e-02
2.481800000000000068e+02,7.413866765396716352e-02
2.491399999999999864e+02,6.932796397943805089e-02
2.501100000000000136e+02,6.133093456832797857e-02
2.510699999999999932e+02,5.414299976276517462e-02
2.520399999999999920e+02,4.998721539320883506e-02
2.530000000000000000e+02,4.986420087521555022e-02
2.539600000000000080e+02,5.452311788058784164e-02
2.549300000000000068e+02,6.399849299072173092e-02
2.558899999999999864e+02,7.434115845366287556e-02
2.568600000000000136e+02,7.875621790615686124e-02
2.578199999999999932e+02,7.430283177683232043e-02
2.587900000000000205e+02,6.262785285379113276e-02
2.597500000000000000e+02,4.994650008495993276e-02
2.607099999999999795e+02,4.061563717557274689e-02
2.616800000000000068e+02,3.869061740150349371e-02
2.626399999999999864e+02,4.247768393954633181e-02
2.636100000000000136e+02,4.848520052832116373e-02
2.645699999999999932e+02,5.389089057408001648e-02
2.655400000000000205e+02,5.966660134121556935e-02
2.665000000000000000e+02,6.573980529396593331e-02
2.674599999999999795e+02,7.126080109268884133e-02
2.684300000000000068e+02,7.485406276346062704e-02
2.693899999999999864e+02,7.311047040295587385e-02
2.703600000000000136e+02,6.486035463576350635e-02
2.713199999999999932e+02,5.389273633472135144e-02
2.722799999999999727e+02,4.436046836719120812e-02
2.732500000000000000e+02,3.972109470977787382e-02
2.742099999999999795e+02,4.092474779580763944e-02
2.751800000000000068e+02,4.848867490129106506e-02
2.761399999999999864e+02,6.039882544478632903e-02
2.771100000000000136e+02,7.351447483495263113e-02
2.780699999999999932e+02,8.434952409233242854e-02
2.790299999999999727e+02,9.221604736873144359e-02
2.800000000000000000e+02,9.616011213538716573e-02
2.809599999999999795e+02,9.561691563625243639e-02
2.819300000000000068e+02,9.188098752537175729e-02
2.828899999999999864e+02,8.716116041885622889e-02
2.838600000000000136e+02,8.147046321534634483e-02
2.848199999999999932e+02,7.384942610415767827e-02
2.857799999999999727e+02,6.447589355172639314e-02
2.867500000000000000e+02,5.537781363137656010e-02
2.877099999999999795e+02,4.949211724488691150e-02
2.886800000000000068e+02,4.941144664747317006e-02
2.896399999999999864e+02,5.490605892644955660e-02
2.906100000000000136e+02,6.373596068312492591e-02
2.915699999999999932e+02,7.206978712408047827e-02
2.925299999999999727e+02,7.502495848395614175e-02
2.935000000000000000e+02,6.985758870915639851e-02
2.944599999999999795e+02,5.857152241052097225e-02
2.954300000000000068e+02,4.745526609082636321e-02
2.963899999999999864e+02,4.227291308258809138e-02
2.973600000000000136e+02,4.662174230032603561e-02
