# wavenumber, intensity
2.009300000000000068e+02,1.114784612827271655e-02
2.019000000000000057e+02,1.041839069832175592e-02
2.028600000000000136e+02,9.438998001373599678e-03
2.038199999999999932e+02,9.364966443419614137e-03
2.047899999999999920e+02,1.100653086734947918e-02
2.057500000000000000e+02,1.444164027884386158e-02
2.067199999999999989e+02,1.835614479210755101e-02
2.076800000000000068e+02,2.062737227994845129e-02
2.086500000000000057e+02,1.977413780795547402e-02
2.096100000000000136e+02,1.599054988547182060e-02
2.105699999999999932e+02,1.138881018385473967e-02
2.115399999999999920e+02,8.536344208451741508e-03
2.125000000000000000e+02,8.489960396756377273e-03
2.134699999999999989e+02,1.057985722830909019e-02
2.144300000000000068e+02,1.303526628989302300e-02
2.154000000000000057e+02,1.432554230577397399e-02
2.163600000000000136e+02,1.408462952568647307e-02
2.173199999999999932e+02,1.292545469236331193e-02
2.182899999999999920e+02,1.149585290471902277e-02
2.192500000000000000e+02,1.054572825963388284e-02
2.202199999999999989e+02,1.041847273911174557e-02
2.211800000000000068e+02,1.103196351227633300e-02
2.221399999999999864e+02,1.262482647219160745e-02
2.231100000000000136e+02,1.524522981773689806e-02
2.240699999999999932e+02,1.844288241742636503e-02
2.250399999999999920e+02,2.110031692459700056e-02
2.260000000000000000e+02,2.238840860444169661e-02
2.269699999999999989e+02,2.221393860922508262e-02
2.279300000000000068e+02,2.099213588777007131e-02
2.288899999999999864e+02,1.918159820155883322e-02
2.298600000000000136e+02,1.738856596893212023e-02
2.308199999999999932e+02,1.567514406798530685e-02
2.317899999999999920e+02,1.380957752182410299e-02
2.327500000000000000e+02,1.180479800998564775e-02
2.337199999999999989e+02,1.044559747533394325e-02
2.346800000000000068e+02,1.034718954762546723e-02
2.356399999999999864e+02,1.117674499658025469e-02
2.366100000000000136e+02,1.195655296144689135e-02
2.375699999999999932e+02,1.202492370488515011e-02
2.385399999999999920e+02,1.134334933104807000e-02
2.395000000000000000e+02,1.047164542618628583e-02
2.404699999999999989e+02,9.947630389709012297e-03
2.414300000000000068e+02,1.010053391223184223e-02
2.423899999999999864e+02,1.052523857230988798e-02
2.433600000000000136e+02,1.096717179830596078e-02
2.443199999999999932e+02,1.147785520639389018e-02
2.452899999999999920e+02,1.239330736256873990e-02
2.462500000000000000e+02,1.366045813074377724e-02
2.472100000000000080e+02,1.482350939139851463e-02
2.481800000000000068e+02,1.547782571272972828e-02
2.491399999999999864e+02,1.524675782745241528e-02
2.501100000000000136e+02,1.418455520801105083e-02
2.510699999999999932e+02,1.259929127627746823e-02
2.520399999999999920e+02,1.085677566014644525e-02
2.530000000000000000e+02,9.389701741630472609e-03
2.539600000000000080e+02,8.973211415659793078e-03
2.549300000000000068e+02,9.982600276483051191e-03
2.558899999999999864e+02,1.179132281021345874e-02
2.568600000000000136e+02,1.309031566004083789e-02
2.578199999999999932e+02,1.292272683609291262e-02
2.587900000000000205e+02,1.140050099644180324e-02
2.597500000000000000e+02,9.440115807138476506e-03
2.607099999999999795e+02,8.099323174762168565e-03
2.616800000000000068e+02,8.083766189941870434e-03
2.626399999999999864e+02,9.270670810314039778e-03
2.636100000000000136e+02,1.091280951977499809e-02
2.645699999999999932e+02,1.227149729948860506e-02
2.655400000000000205e+02,1.323136428839641332e-02
2.665000000000000000e+02,1.371665607195280724e-02
2.674599999999999795e+02,1.351442552439083462e-02
2.684300000000000068e+02,1.279071294974573614e-02
2.693899999999999864e+02,1.197698111817859130e-02
2.703600000000000136e+02,1.146220592568485304e-02
2.713199999999999932e+02,1.116392612312945391e-02
2.722799999999999727e+02,1.079290690506421596e-02
2.732500000000000000e+02,9.986968948555512496e-03
2.742099999999999795e+02,8.871757723619876773e-03
2.751800000000000068e+02,8.048693752180400424e-03
2.761399999999999864e+02,8.112890670422515452e-03
2.771100000000000136e+02,9.177626299257704914e-03
2.780699999999999932e+02,1.075118916330540866e-02
2.790299999999999727e+02,1.192634144049788299e-02
2.800000000000000000e+02,1.235997829159649411e-02
2.809599999999999795e+02,1.217000258705355949e-02
2.819300000000000068e+02,1.186770278578396821e-02
2.828899999999999864e+02,1.188058318982731024e-02
2.838600000000000136e+02,1.199826044810689378e-02
2.848199999999999932e+02,1.164070617471455772e-02
2.857799999999999727e+02,1.057685248437291101e-02
2.867500000000000000e+02,9.097175049480118667e-03
2.877099999999999795e+02,8.230332061430941856e-03
2.886800000000000068e+02,8.750265568600860966e-03
2.896399999999999864e+02,1.062745114165796964e-02
2.906100000000000136e+02,1.302329858963922893e-02
2.915699999999999932e+02,1.486350427656543509e-02
2.925299999999999727e+02,1.528548108037309540e-02
2.935000000000000000e+02,1.399371807517237054e-02
2.944599999999999795e+02,1.189873471463426952e-02
2.954300000000000068e+02,1.020738178622054328e-02
2.963899999999999864e+02,9.955403754569840460e-03
2.973600000000000136e+02,1.137881146256229138e-02
2.983199999999999932e+02,1.427050319072448170e-02
2.992799999999999727e+02,1.757004019660208041e-02
3.002500000000000000e+02,1.932091371822342030e-02
3.012099999999999795e+02,1.825539870188266564e-02
3.021800000000000068e+02,1.454507320494581590e-02
3.031399999999999864e+02,9.885238368849268153e-03
3.041000000000000227e+02,6.367995871379367526e-03
3.050699999999999932e+02,5.491472070099712340e-03
3.060299999999999727e+02,7.737266913013234916e-03
3.070000000000000000e+02,1.180121898051753222e-02
3.079599999999999795e+02,1.599067294665610164e-02
3.089300000000000068e+02,1.881915224605735029e-02
3.098899999999999864e+02,1.960050873083685544e-02
3.108500000000000227e+02,1.821531152082689342e-02
3.118199999999999932e+02,1.535310320160175428e-02
3.127799999999999727e+02,1.235498405850016419e-02
3.137500000000000000e+02,1.013250931016805752e-02
3.147099999999999795e+02,9.185368898822125414e-03
3.156800000000000068e+02,9.485422833463003772e-03
3.166399999999999864e+02,1.064799210447602701e-02
3.176000000000000227e+02,1.211114857526546414e-02
3.185699999999999932e+02,1.329871977705702688e-02
3.195299999999999727e+02,1.422608835799201929e-02
3.205000000000000000e+02,1.480873179408437323e-02
3.214599999999999795e+02,1.502860111151501331e-02
3.224300000000000068e+02,1.498943688934763208e-02
3.233899999999999864e+02,1.493363889699019474e-02
3.243500000000000227e+02,1.489471054209430718e-02
3.253199999999999932e+02,1.432356307171298374e-02
3.262799999999999727e+02,1.288704934750426259e-02
3.272500000000000000e+02,1.075211212219429752e-02
3.282099999999999795e+02,8.965776469058392775e-03
3.291700000000000159e+02,8.381605023250532013e-03
3.301399999999999864e+02,8.894062563424030843e-03
3.311000000000000227e+02,9.832127212366606472e-03
3.320699999999999932e+02,1.048042379072544779e-02
3.330299999999999727e+02,1.080659746191008595e-02
3.340000000000000000e+02,1.106043166643611540e-02
3.349599999999999795e+02,1.143790134162179194e-02
3.359200000000000159e+02,1.178802066841273290e-02
3.368899999999999864e+02,1.174743098751789526e-02
3.378500000000000227e+02,1.133223280399138673e-02
3.388199999999999932e+02,1.109202762571804939e-02
3.397799999999999727e+02,1.150317504523395810e-02
3.407500000000000000e+02,1.236710558523487942e-02
3.417099999999999795e+02,1.294331907440435941e-02
3.426700000000000159e+02,1.290945673829652432e-02
3.436399999999999864e+02,1.241929378282866439e-02
3.446000000000000227e+02,1.177012552107522397e-02
3.455699999999999932e+02,1.095154302779430440e-02
3.465299999999999727e+02,9.871722148682166714e-03
3.475000000000000000e+02,8.458354182376646296e-03
3.484599999999999795e+02,8.043002172368536595e-03
3.494200000000000159e+02,1.035217352562327504e-02
3.503899999999999864e+02,1.560773730383031334e-02
3.513500000000000227e+02,2.193864048299178082e-02
3.523199999999999932e+02,2.672153650421793883e-02
3.532799999999999727e+02,2.813760156149842234e-02
3.542400000000000091e+02,2.614033903705164502e-02
3.552099999999999795e+02,2.181618434869067244e-02
3.561700000000000159e+02,1.705369597399869833e-02
3.571399999999999864e+02,1.337583811973804514e-02
3.581000000000000227e+02,1.156058308809691099e-02
3.590699999999999932e+02,1.151932682578209362e-02
3.600299999999999727e+02,1.297858635904214873e-02
3.609900000000000091e+02,1.472671151419546916e-02
3.619599999999999795e+02,1.536131753570884641e-02
3.629200000000000159e+02,1.428148640149804610e-02
3.638899999999999864e+02,1.234605186747960402e-02
3.648500000000000227e+02,1.091095334689932972e-02
3.658199999999999932e+02,1.048503858516743222e-02
3.667799999999999727e+02,1.061907272597056168e-02
3.677400000000000091e+02,1.064558215626741633e-02
3.687099999999999795e+02,1.027798814118833191e-02
3.696700000000000159e+02,1.018208245757760803e-02
3.706399999999999864e+02,1.091901385452512252e-02
3.716000000000000227e+02,1.234103712418494446e-02
3.725699999999999932e+02,1.355278984885457429e-02
3.735299999999999727e+02,1.353865832276256176e-02
3.744900000000000091e+02,1.211619408385603870e-02
3.754599999999999795e+02,1.022311310771952149e-02
3.764200000000000159e+02,8.897580062299277268e-03
3.773899999999999864e+02,8.785358516560162756e-03
3.783500000000000227e+02,9.626574012806051947e-03
3.793100000000000023e+02,1.081869847844757135e-02
3.802799999999999727e+02,1.201023840345969047e-02
3.812400000000000091e+02,1.314176549052373764e-02
3.822099999999999795e+02,1.416287592923067169e-02
3.831700000000000159e+02,1.500874724031385672e-02
3.841399999999999864e+02,1.485836647208629499e-02
3.851000000000000227e+02,1.318657001700974420e-02
3.860600000000000023e+02,1.065380674547394477e-02
3.870299999999999727e+02,8.863440838525015256e-03
3.879900000000000091e+02,9.182015481527373499e-03
3.889599999999999795e+02,1.187574278321180607e-02
3.899200000000000159e+02,1.564157912974084227e-02
3.908899999999999864e+02,1.823046855679482173e-02
3.918500000000000227e+02,1.792340013460208548e-02
3.928100000000000023e+02,1.455841508843368041e-02
3.937799999999999727e+02,1.008176708150032054e-02
3.947400000000000091e+02,7.110782929719340964e-03
3.957099999999999795e+02,6.525268065973659562e-03
3.966700000000000159e+02,7.929252616913318522e-03
3.976399999999999864e+02,1.005695999759728503e-02
3.986000000000000227e+02,1.167532738813097451e-02
3.995600000000000023e+02,1.206715420158201678e-02
4.005299999999999727e+02,1.156235722018260012e-02
4.014900000000000091e+02,1.100031627750059846e-02
4.024599999999999795e+02,1.089894462625045669e-02
4.034200000000000159e+02,1.120763335404788806e-02
4.043799999999999955e+02,1.132094194025548908e-02
4.053500000000000227e+02,1.121509906594580358e-02
4.063100000000000023e+02,1.104077264211180201e-02
4.072799999999999727e+02,1.078819981473316640e-02
4.082400000000000091e+02,1.057905733060628822e-02
4.092099999999999795e+02,1.055002514601453487e-02
4.101700000000000159e+02,1.070567703500530793e-02
4.111299999999999955e+02,1.083615265653844854e-02
4.121000000000000227e+02,1.087052774758451128e-02
4.130600000000000023e+02,1.097694490742481647e-02
4.140299999999999727e+02,1.135954213199102426e-02
4.149900000000000091e+02,1.204716701409713070e-02
4.159599999999999795e+02,1.292390617245024048e-02
