# wavenumber, intensity
2.009300000000000068e+02,2.032248369982116512e-02
2.019000000000000057e+02,1.940272583125476902e-02
2.028600000000000136e+02,1.876305587270533232e-02
2.038199999999999932e+02,1.885456008416384541e-02
2.047899999999999920e+02,1.986503233347304206e-02
2.057500000000000000e+02,2.140641020570105413e-02
2.067199999999999989e+02,2.274473189301931542e-02
2.076800000000000068e+02,2.302695699203233248e-02
2.086500000000000057e+02,2.216469415351421043e-02
2.096100000000000136e+02,2.057255804263740870e-02
2.105699999999999932e+02,1.905733750529182285e-02
2.115399999999999920e+02,1.825210509051840985e-02
2.125000000000000000e+02,1.820917546808227885e-02
2.134699999999999989e+02,1.895909650243330496e-02
2.144300000000000068e+02,1.997983655104832237e-02
2.154000000000000057e+02,2.062117909229023091e-02
2.163600000000000136e+02,2.123887317268786240e-02
2.173199999999999932e+02,2.086890717327432795e-02
2.182899999999999920e+02,2.066543284269143146e-02
2.192500000000000000e+02,2.160986130596960139e-02
2.202199999999999989e+02,2.506799571327421317e-02
2.211800000000000068e+02,3.157917429193113357e-02
2.221399999999999864e+02,4.073456672524559258e-02
2.231100000000000136e+02,5.096433800490515753e-02
2.240699999999999932e+02,6.023678799636685011e-02
2.250399999999999920e+02,6.660224280795649932e-02
2.260000000000000000e+02,6.903798781426921660e-02
2.269699999999999989e+02,6.785054702398686521e-02
2.279300000000000068e+02,6.363810105276369866e-02
2.288899999999999864e+02,5.600684959782021438e-02
2.298600000000000136e+02,4.709365643047884464e-02
2.308199999999999932e+02,3.824190744676453368e-02
2.317899999999999920e+02,3.125813133626760554e-02
2.327500000000000000e+02,2.688033198165662441e-02
2.337199999999999989e+02,2.500683029342824770e-02
2.346800000000000068e+02,2.469092123741753464e-02
2.356399999999999864e+02,2.447067461928127338e-02
2.366100000000000136e+02,2.348840397258966303e-02
2.375699999999999932e+02,2.203618404998802446e-02
2.385399999999999920e+02,2.078249040083791910e-02
2.395000000000000000e+02,2.024431368927061617e-02
2.404699999999999989e+02,2.023537001792964293e-02
2.414300000000000068e+02,2.067207671282979969e-02
2.423899999999999864e+02,2.116785809921001987e-02
2.433600000000000136e+02,2.137851059718101285e-02
2.443199999999999932e+02,2.148769307848477639e-02
2.452899999999999920e+02,2.163492681603861392e-02
2.462500000000000000e+02,2.167952902116701205e-02
2.472100000000000080e+02,2.132252553761876737e-02
2.481800000000000068e+02,2.064784749410669001e-02
2.491399999999999864e+02,1.986835426854279690e-02
2.501100000000000136e+02,1.934866888785159722e-02
2.510699999999999932e+02,1.938460618542109729e-02
2.520399999999999920e+02,1.980865235855307563e-02
2.530000000000000000e+02,2.037635480070272911e-02
2.539600000000000080e+02,2.067367960457677095e-02
2.549300000000000068e+02,2.072694671726391796e-02
2.558899999999999864e+02,2.085034615145238759e-02
2.568600000000000136e+02,2.089984995308184421e-02
2.578199999999999932e+02,2.080590655853016904e-02
2.587900000000000205e+02,2.034580693625282627e-02
2.597500000000000000e+02,1.947926971974324115e-02
2.607099999999999795e+02,1.854220526637433836e-02
2.616800000000000068e+02,1.796658128675134025e-02
2.626399999999999864e+02,1.809602060288417053e-02
2.636100000000000136e+02,1.891907066939361656e-02
2.645699999999999932e+02,2.001688890374615434e-02
2.655400000000000205e+02,2.079982021595545502e-02
2.665000000000000000e+02,2.113561442175274432e-02
2.674599999999999795e+02,2.127460139742093706e-02
2.684300000000000068e+02,2.139574749103769977e-02
2.693899999999999864e+02,2.143514610556775807e-02
2.703600000000000136e+02,2.088684097658607963e-02
2.713199999999999932e+02,1.974223688747928085e-02
2.722799999999999727e+02,1.815904444794342806e-02
2.732500000000000000e+02,1.658400584903253067e-02
2.742099999999999795e+02,1.594545094561116913e-02
2.751800000000000068e+02,1.685928508380886079e-02
2.761399999999999864e+02,1.874962875053603692e-02
2.771100000000000136e+02,2.068722287832126458e-02
2.780699999999999932e+02,2.185563804047867612e-02
2.790299999999999727e+02,2.204380359336418835e-02
2.800000000000000000e+02,2.146639087947314548e-02
2.809599999999999795e+02,2.079443078283583698e-02
2.819300000000000068e+02,2.074692478831089912e-02
2.828899999999999864e+02,2.147586884806257021e-02
2.838600000000000136e+02,2.238970298626057065e-02
2.848199999999999932e+02,2.300082288746489387e-02
2.857799999999999727e+02,2.338059207988095120e-02
2.867500000000000000e+02,2.391646899024627015e-02
2.877099999999999795e+02,2.478558477173991095e-02
2.886800000000000068e+02,2.633386204757375004e-02
2.896399999999999864e+02,2.890915155711870632e-02
