# wavenumber, intensity
2.009300000000000068e+02,2.291926069881138756e-02
2.019000000000000057e+02,1.782055147951635415e-02
2.028600000000000136e+02,1.365206724548652210e-02
2.038199999999999932e+02,1.284294618518509908e-02
2.047899999999999920e+02,1.610645895061330740e-02
2.057500000000000000e+02,2.216201826859091895e-02
2.067199999999999989e+02,2.760971817905004053e-02
2.076800000000000068e+02,2.874205197979779955e-02
2.086500000000000057e+02,2.478773854444925664e-02
2.096100000000000136e+02,1.760396021597987123e-02
2.105699999999999932e+02,1.101339748264999231e-02
2.115399999999999920e+02,8.272947172615511408e-03
2.125000000000000000e+02,9.914143368268020506e-03
2.134699999999999989e+02,1.478645844135959703e-02
2.144300000000000068e+02,1.975910178273558929e-02
2.154000000000000057e+02,2.257160126331883565e-02
2.163600000000000136e+02,2.279811643276548339e-02
2.173199999999999932e+02,2.100560084252757476e-02
2.182899999999999920e+02,1.829601145940872378e-02
2.192500000000000000e+02,1.652802324637920803e-02
2.202199999999999989e+02,1.925322462781979549e-02
2.211800000000000068e+02,2.859307236790699022e-02
2.221399999999999864e+02,4.436207817650519164e-02
2.231100000000000136e+02,6.357814866878444549e-02
2.240699999999999932e+02,8.116024401889886108e-02
2.250399999999999920e+02,9.296763465650077773e-02
2.260000000000000000e+02,9.810862132861548901e-02
2.269699999999999989e+02,9.792515009252518443e-02
2.279300000000000068e+02,9.318321739301287099e-02
2.288899999999999864e+02,8.270341138788192548e-02
2.298600000000000136e+02,6.698910808503075187e-02
2.308199999999999932e+02,4.883348358727324090e-02
2.317899999999999920e+02,3.268668355572292711e-02
2.327500000000000000e+02,2.192210986027464531e-02
2.337199999999999989e+02,1.744001406306069230e-02
2.346800000000000068e+02,1.752239055032902074e-02
2.356399999999999864e+02,1.864915728190747954e-02
2.366100000000000136e+02,1.882213983695419507e-02
2.375699999999999932e+02,1.828043980216744607e-02
2.385399999999999920e+02,1.723972059622258177e-02
2.395000000000000000e+02,1.602682565684983990e-02
2.404699999999999989e+02,1.461283042901902370e-02
2.414300000000000068e+02,1.397935443510642424e-02
2.423899999999999864e+02,1.456990751890464841e-02
2.433600000000000136e+02,1.601391651095050717e-02
2.443199999999999932e+02,1.786952555176981108e-02
2.452899999999999920e+02,1.944222259199641922e-02
2.462500000000000000e+02,2.049524582762646263e-02
2.472100000000000080e+02,2.065310047732273058e-02
2.481800000000000068e+02,2.036216060162393190e-02
